Movie_Title,Domestic,International,Budget,Distributor,MPAA-Rating,Runtime,Genres,Release_Year
Jurassic World,652270625,1018130012,150000000.0,Universal Pictures,PG-13,124,Action,2015
Jurassic World,652270625,1018130012,150000000.0,Universal Pictures,PG-13,124,Adventure,2015
Jurassic World,652270625,1018130012,150000000.0,Universal Pictures,PG-13,124,Sci-Fi,2015
Star Wars: Episode VII - The Force Awakens,936662225,1131561399,245000000.0,Walt Disney Studios Motion Pictures,PG-13,138,Action,2015
Star Wars: Episode VII - The Force Awakens,936662225,1131561399,245000000.0,Walt Disney Studios Motion Pictures,PG-13,138,Adventure,2015
Star Wars: Episode VII - The Force Awakens,936662225,1131561399,245000000.0,Walt Disney Studios Motion Pictures,PG-13,138,Sci-Fi,2015
Avengers: Age of Ultron,459005868,943800000,250000000.0,Walt Disney Studios Motion Pictures,PG-13,141,Action,2015
Avengers: Age of Ultron,459005868,943800000,250000000.0,Walt Disney Studios Motion Pictures,PG-13,141,Adventure,2015
Avengers: Age of Ultron,459005868,943800000,250000000.0,Walt Disney Studios Motion Pictures,PG-13,141,Sci-Fi,2015
Inside Out,356461711,501149463,175000000.0,Walt Disney Studios Motion Pictures,PG,95,Adventure,2015
Inside Out,356461711,501149463,175000000.0,Walt Disney Studios Motion Pictures,PG,95,Animation,2015
Inside Out,356461711,501149463,175000000.0,Walt Disney Studios Motion Pictures,PG,95,Comedy,2015
Inside Out,356461711,501149463,175000000.0,Walt Disney Studios Motion Pictures,PG,95,Drama,2015
Inside Out,356461711,501149463,175000000.0,Walt Disney Studios Motion Pictures,PG,95,Family,2015
Inside Out,356461711,501149463,175000000.0,Walt Disney Studios Motion Pictures,PG,95,Fantasy,2015
Furious 7,353007020,1162040651,190000000.0,Universal Pictures,PG-13,137,Action,2015
Furious 7,353007020,1162040651,190000000.0,Universal Pictures,PG-13,137,Adventure,2015
Furious 7,353007020,1162040651,190000000.0,Universal Pictures,PG-13,137,Thriller,2015
American Sniper,350126372,197300000,58800000.0,Warner Bros.,R,133,Action,2014
American Sniper,350126372,197300000,58800000.0,Warner Bros.,R,133,Biography,2014
American Sniper,350126372,197300000,58800000.0,Warner Bros.,R,133,Drama,2014
American Sniper,350126372,197300000,58800000.0,Warner Bros.,R,133,War,2014
Minions,336045770,823352627,74000000.0,Universal Pictures,PG,91,Adventure,2015
Minions,336045770,823352627,74000000.0,Universal Pictures,PG,91,Animation,2015
Minions,336045770,823352627,74000000.0,Universal Pictures,PG,91,Comedy,2015
Minions,336045770,823352627,74000000.0,Universal Pictures,PG,91,Family,2015
Minions,336045770,823352627,74000000.0,Universal Pictures,PG,91,Sci-Fi,2015
The Hunger Games: Mockingjay - Part 2,281723902,376620235,160000000.0,Lionsgate,PG-13,137,Action,2015
The Hunger Games: Mockingjay - Part 2,281723902,376620235,160000000.0,Lionsgate,PG-13,137,Adventure,2015
The Hunger Games: Mockingjay - Part 2,281723902,376620235,160000000.0,Lionsgate,PG-13,137,Sci-Fi,2015
The Hunger Games: Mockingjay - Part 2,281723902,376620235,160000000.0,Lionsgate,PG-13,137,Thriller,2015
The Martian,228433663,401728227,108000000.0,Twentieth Century Fox,PG-13,144,Adventure,2015
The Martian,228433663,401728227,108000000.0,Twentieth Century Fox,PG-13,144,Drama,2015
The Martian,228433663,401728227,108000000.0,Twentieth Century Fox,PG-13,144,Sci-Fi,2015
Cinderella,201151353,341200000,95000000.0,Walt Disney Studios Motion Pictures,PG,105,Drama,2015
Cinderella,201151353,341200000,95000000.0,Walt Disney Studios Motion Pictures,PG,105,Family,2015
Cinderella,201151353,341200000,95000000.0,Walt Disney Studios Motion Pictures,PG,105,Fantasy,2015
Cinderella,201151353,341200000,95000000.0,Walt Disney Studios Motion Pictures,PG,105,Romance,2015
How the Grinch Stole Christmas,260044825,85096578,123000000.0,Universal Pictures,PG,104,Comedy,2000
How the Grinch Stole Christmas,260044825,85096578,123000000.0,Universal Pictures,PG,104,Family,2000
How the Grinch Stole Christmas,260044825,85096578,123000000.0,Universal Pictures,PG,104,Fantasy,2000
Mission: Impossible II,215409889,330978219,125000000.0,Paramount Pictures,PG-13,123,Action,2000
Mission: Impossible II,215409889,330978219,125000000.0,Paramount Pictures,PG-13,123,Adventure,2000
Mission: Impossible II,215409889,330978219,125000000.0,Paramount Pictures,PG-13,123,Thriller,2000
Gladiator,187705427,272878533,103000000.0,DreamWorks Distribution,R,155,Action,2000
Gladiator,187705427,272878533,103000000.0,DreamWorks Distribution,R,155,Adventure,2000
Gladiator,187705427,272878533,103000000.0,DreamWorks Distribution,R,155,Drama,2000
The Perfect Storm,182618434,146100000,140000000.0,Warner Bros.,PG-13,130,Action,2000
The Perfect Storm,182618434,146100000,140000000.0,Warner Bros.,PG-13,130,Adventure,2000
The Perfect Storm,182618434,146100000,140000000.0,Warner Bros.,PG-13,130,Drama,2000
The Perfect Storm,182618434,146100000,140000000.0,Warner Bros.,PG-13,130,Thriller,2000
Meet the Parents,166244045,164200000,55000000.0,Universal Pictures,PG-13,108,Comedy,2000
Meet the Parents,166244045,164200000,55000000.0,Universal Pictures,PG-13,108,Romance,2000
X-Men,157299718,139039810,75000000.0,Twentieth Century Fox,PG-13,104,Action,2000
X-Men,157299718,139039810,75000000.0,Twentieth Century Fox,PG-13,104,Adventure,2000
X-Men,157299718,139039810,75000000.0,Twentieth Century Fox,PG-13,104,Sci-Fi,2000
Scary Movie,157019771,121000000,19000000.0,Miramax,R,88,Comedy,2000
